safe,suggestive,questionable,explicit,semi-grimdark,grimdark,grotesque,total,timestamp,timestep
39, 0, 0, 8, 1, 1, 0, 49, 750017.398166, 3601.36680394
34, 5, 0, 7, 0, 0, 0, 48, 753618.439467, 3601.04130095
28, 4, 0, 5, 1, 0, 0, 37, 757219.572528, 3601.13306112
36, 4, 1, 11, 2, -1, 0, 51, 760820.821276, 3601.24874795
0, 0, 0, 0, 0, 0, 0, 0, 763040.5677483082, 2219.7464723081794
71, 4, 1, 13, 1, 3, 0, 90, 766642.2378759384, 3601.6701276302338
36, 4, 1, 11, 0, 0, 0, 52, 770244.0544526577, 3601.816576719284
45, 5, 2, 5, 2, 1, 0, 59, 773845.8321876526, 3601.7777349948883
45, 4, 2, 5, 0, 0, 0, 56, 777447.4495630264, 3601.6173753738403
22, 2, 3, 4, 0, 0, 0, 0, 781048.7023658752, 3601.252802848816
16, 1, 3, -8, 0, 0, -2, 44, 784650.522967577, 3601.8206017017365
33, 2, 2, 7, 0, 0, 0, 43, 788251.5980288982, 3601.0750613212585
36, 3, -1, 4, 0, 0, 0, 37, 791852.6580729485, 3601.0600440502167
10, 2, 2, 4, 3, 0, 0, 26, 795454.2931706905, 3601.6350977420807
16, 3, 1, 4, 0, 1, 0, 24, 799056.0375258923, 3601.744355201721
20, 0, 1, 3, 0, 0, 0, 21, 802657.1017968655, 3601.0642709732056
13, 0, 0, 2, 0, 0, 0, 18, 806258.7354440689, 3601.6336472034454
-4, -2, 2, 3, 0, 0, 0, 18, 809860.3637559414, 3601.6283118724823
21, 4, 1, 11, 0, 0, 2, 20, 813461.8690299988, 3601.5052740573883
13, -1, 0, 3, 0, 1, 0, 15, 817063.5795896053, 3601.710559606552
19, 1, 0, 4, 0, 0, 0, 35, 820665.1364119053, 3601.5568222999573
17, 0, 1, 7, 0, 0, 0, 14, 824266.9075217247, 3601.7711098194122
29, 0, 4, 8, 0, 1, 0, 30, 827868.127635479, 3601.2201137542725
20, 2, 2, 4, 0, 0, 0, 0, 831469.6474306583, 3601.519795179367
38, 5, 1, 2, 3, 2, 2, 61, 835071.2065477371, 3601.559117078781
22, 9, 4, 8, -2, 1, 0, 0, 838672.4233365059, 3601.2167887687683
33, 3, 4, 15, 0, 0, 1, 125, 842274.0472331047, 3601.623896598816
18, 2, 3, 6, 0, 0, 0, 34, 845875.8290359974, 3601.781802892685
0, 0, 0, 0, 0, 0, 0, 0, 847720.6281769276, 1844.7991409301758
43, 11, 12, 10, 1, 0, 0, 72, 851322.3835933208, 3601.75541639328
53, 10, 4, 6, 1, 0, 0, 74, 854924.2178776264, 3601.8342843055725
33, 3, 3, 5, 0, 0, 0, 30, 858525.3393206596, 3601.1214430332184
33, 6, 2, -25, 3, 1, 0, 38, 862126.9071166515, 3601.5677959918976
30, 3, 1, 8, 0, 1, 0, 37, 865728.560341835, 3601.653225183487
28, 4, 6, 7, 0, 0, 0, 29, 869329.7551243305, 3601.1947824954987
21, 3, 2, 9, 0, 0, 0, 51, 872931.34070158, 3601.585577249527
30, 1, 2, 3, 0, 0, 0, 42, 876533.0851416588, 3601.7444400787354
14, 1, 2, 2, 0, 0, 0, 32, 880134.6528613567, 3601.5677196979523
16, 0, 2, 15, 1, 1, 0, 28, 883736.2831130028, 3601.630251646042
7, 4, 7, 4, 0, 0, 0, 0, 887337.3925824165, 3601.1094694137573
10, 1, -3, 30, 0, 0, 0, 16, 890938.5482783318, 3601.155695915222
25, 5, 2, 8, 0, 1, 1, 72, 894540.2679555416, 3601.719677209854
18, 2, 2, 3, 1, 0, 0, 19, 898141.8105096817, 3601.542554140091
19, 0, 0, 8, 0, 0, 0, 17, 901742.9569001198, 3601.14639043808
10, 1, 0, 2, 0, 0, 1, 31, 905344.7718000412, 3601.8148999214172
14, 0, 4, 2, 0, 1, 0, 20, 908949.491820097, 3604.720020055771
18, 4, -1, 10, 0, 1, 1, 31, 912551.3880810738, 3601.8962609767914
14, 2, 3, 0, 0, 0, 0, 0, 916152.4623448849, 3601.0742638111115
13, 3, 1, 0, 0, 0, 0, 50, 919754.1786909103, 3601.716346025467
48, 3, 1, 5, 0, 1, 0, 44, 923355.4869413376, 3601.308250427246
23, 2, 0, 8, 0, 0, 0, 33, 926957.1800818443, 3601.6931405067444
38, 3, 1, 5, 1, 0, 0, 31, 930558.3582987785, 3601.178216934204
12, 2, 0, 0, 0, 0, 0, 55, 934159.9712834358, 3601.6129846572876
48, 6, 6, 7, 0, 0, 0, 45, 937761.9361059666, 3601.9648225307465
35, 2, 1, 4, 1, 0, 0, 41, 941363.7423586845, 3601.806252717972
21, 6, 4, 13, 0, 0, 0, 45, 944964.9759576321, 3601.233598947525
41, 1, 4, 8, 0, 0, 0, 52, 948566.7487421036, 3601.772784471512
29, 1, 4, 5, 0, 0, 0, 39, 952171.2312595844, 3604.48251748085
16, 2, 1, 6, 1, 0, 0, 26, 955773.0357298851, 3601.8044703006744
28, 10, 2, 10, 0, 5, 0, 36, 959374.1623558998, 3601.1266260147095
51, 15, -13, 9, 0, -5, 0, 76, 962975.9226140976, 3601.7602581977844
27, 5, 1, 12, -1, 3, 2, 46, 966578.9375984669, 3603.014984369278
20, 3, -2, 4, 0, 2, 2, 27, 970180.1655006409, 3601.227902173996
16, 1, 1, 1, 0, 1, 1, 28, 973782.0220482349, 3601.8565475940704
38, -4, 1, 1, -3, -3, -1, 32, 977383.7211537361, 3601.699105501175
26, 1, 4, 3, 0, 0, 0, 0, 980984.97184968, 3601.2506959438324
8, 0, -3, 1, 0, 0, 0, 21, 984586.2739069462, 3601.3020572662354
27, 4, 0, 6, 1, 0, 0, 51, 988187.8698561192, 3601.5959491729736
6, 2, 0, 3, 1, 0, 0, 10, 991789.661837101, 3601.791980981827
7, 0, 2, 1, 1, 1, 0, 0, 995390.8367557526, 3601.174918651581
18, 1, 0, 0, 0, 0, 0, 33, 998992.3375976086, 3601.500841856003
18, 0, 1, 4, 0, 0, 0, 21, 1002593.9018366337, 3601.564239025116
16, 2, 3, 4, 1, 0, 0, 26, 1006195.6363208294, 3601.7344841957092
32, 6, 3, 8, 0, 1, 0, 50, 1009797.3985860348, 3601.7622652053833
18, -3, 11, 6, 0, 0, 0, 26, 1013398.6435027122, 3601.244916677475
15, 3, 2, 4, 0, 0, 0, 30, 1017000.3130571842, 3601.6695544719696
3, 0, 1, 9, 0, 0, 0, 31, 1020602.6699345112, 3602.3568773269653
52, 0, -1, 6, 2, 0, 0, 41, 1024206.2774066925, 3603.60747218132
27, 2, 3, 8, 0, 1, 0, 40, 1027808.2062397003, 3601.9288330078125
23, 1, 0, 5, 1, 1, 1, 41, 1031412.5918648243, 3604.3856251239777
38, 4, 6, 16, 1, 0, 0, 0, 1035019.7515113354, 3607.159646511078
29, 6, 4, 11, 1, 0, 0, 104, 1038621.5624201298, 3601.810908794403
26, 0, 0, 9, 0, 0, 0, 45, 1042225.4686954021, 3603.9062752723694
29, 1, 1, 16, 0, -1, 0, 31, 1045826.9408512115, 3601.4721558094025
19, -1, 0, 19, 3, 0, 0, 24, 1049429.320800066, 3602.3799488544464
27, 3, 1, 6, -2, 2, 1, 0, 1053031.7991769314, 3602.478376865387
18, 1, 1, 4, 0, -2, 0, 78, 1056636.4114699364, 3604.6122930049896
4, 2, 2, 3, 0, 1, 1, 22, 1060238.1593577862, 3601.7478878498077
19, 1, 0, 11, 0, 0, 0, 26, 1063839.919780016, 3601.760422229767
14, 3, 0, 5, 2, -2, -1, 0, 1067442.8771665096, 3602.957386493683
